id;name;cityId
554;Onohazumba;37
555;Hilisalawa'ahe;37
556;Ulususua;37
557;Sidua'ori;37
558;Somambawa;37
559;Boronadu;37
560;Simuk;37
561;Pulau-Pulau Batu Barat;37
562;Pulau-Pulau Batu Utara;37
563;Tanah Masa;37
564;Luahagundre Maniamolo;37
565;Onolalu;37
566;Ulu Idanotae;37
567;Idanotae;37
568;Sitelu Tali Urang Jehe;38
569;Kerajaan;38
570;Salak;38
571;Sitelu Tali Urang Julu;38
572;Pergetteng Getteng Sengkut;38
573;Pagindar;38
574;Tinada;38
575;Siempat Rube;38
576;Parlilitan;39
577;Pollung;39
578;Baktiraja;39
579;Paranginan;39
580;Lintong Nihuta;39
581;Dolok Sanggul;39
582;Sijamapolang;39
583;Onan Ganjang;39
584;Pakkat;39
585;Tarabintang;39
586;Simanindo;40
587;Onan Runggu;40
588;Nainggolan;40
589;Palipi;40
590;Harian;40
591;Sianjar Mula Mula;40
592;Ronggur Nihuta;40
593;Pangururan;40
594;Sitio-tio;40
595;Pantai Cermin;41
596;Perbaungan;41
597;Teluk Mengkudu;41
598;Sei Rampah;41
599;Tanjung Beringin;41
600;Bandar Khalipah;41
601;Dolok Merawan;41
602;Sipispis;41
603;Dolok Masihul;41
604;Kotarih;41
605;Silinda;41
606;Serba Jadi;41
607;Tebing Tinggi;41
608;Pegajahan;41
609;Sei Bamban;41
610;Tebing Syahbandar;41
611;Bintang Bayu;41
612;Medang Deras;42
613;Sei Suka;42
614;Air Putih;42
615;Lima Puluh;42
616;Talawi;42
617;Tanjung Tiram;42
618;Sei Balai;42
619;Laut Tador;42
620;Lima Puluh Pesisir;42
621;Datuk Lima Puluh;42
622;Datuk Tanah Datar;42
623;Nibung Hangus;42
624;Dolok Sigompulon;43
625;Dolok;43
626;Halongonan;43
627;Padang Bolak;43
628;Padang Bolak Julu;43
629;Portibi;43
630;Batang Onang;43
631;Simangambat;43
632;Hulu Sihapas;43
633;Padang Bolak Tenggara;43
634;Halongonan Timur;43
635;Ujung Batu;43
636;Sosopan;44
637;Barumun Tengah;44
638;Huristak;44
639;Lubuk Barumun;44
640;Huta Raja Tinggi;44
641;Ulu Barumun;44
642;Barumun;44
643;Sosa;44
644;Batang Lubu Sutam;44
645;Barumun Selatan;44
646;Aek Nabara Barumun;44
647;Sihapas Barumun;44
648;Barumun Baru;44
649;Ulu Sosa;44
650;Sosa Julu;44
651;Barumun Barat;44
652;Sosa Timur;44
653;Kotapinang;45
654;Kampung Rakyat;45
655;Torgamba;45
656;Sungai Kanan;45
657;Silangkitang;45
658;Kualuh Hulu;46
659;Kualuh Leidong;46
660;Kualuh Hilir;46
661;Aek Kuo;46
662;Marbau;46
663;Na IX - X;46
664;Aek Natas;46
665;Kualuh Selatan;46
666;Lotu;47
667;Sawo;47
668;Tuhemberua;47
669;Sitolu Ori;47
670;Namohalu Esiwa;47
671;Alasa Talumuzoi;47
672;Alasa;47
673;Tugala Oyo;47
674;Afulu;47
675;Lahewa;47
676;Lahewa Timur;47
677;Lahomi;48
678;Sirombu;48
679;Mandrehe Barat;48
680;Moro'o;48
681;Mandrehe;48
682;Mandrehe Utara;48
